tDate,VaccinationPopulation,T_SideEffectCase,T_GeneralSideEffect,T_SeriousSideEffect_Sum,T_SeriousSideEffect_Death,T_SeriousSideEffectCase_Major,Man_VaccinationPopulation,Man_SideEffectCase,Man_GeneralSideEffect,Man_SeriousSideEffect_Sum,Man_SeriousSideEffect_Death,Man_SeriousSideEffectCase_Major,Woman_VaccinationPopulation,Woman_SideEffectCase,Woman_GeneralSideEffect,Woman_SeriousSideEffect_Sum,Woman_SeriousSideEffect_Death,Woman_SeriousSideEffectCase_Major,Age19Less_VaccinationPopulation,Age19Less_SideEffectCase,Age19Less_GeneralSideEffect,Age19Less_SeriousSideEffect_Sum,Age19Less_SeriousSideEffect_Death,Age19Less_SeriousSideEffectCase_Major,Age20-29_VaccinationPopulation,Age20-29_SideEffectCase,Age20-29_GeneralSideEffect,Age20-29_SeriousSideEffect_Sum,Age20-29_SeriousSideEffect_Death,Age20-29_SeriousSideEffectCase_Major,Age30-39_VaccinationPopulation,Age30-39_SideEffectCase,Age30-39_GeneralSideEffect,Age30-39_SeriousSideEffect_Sum,Age30-39_SeriousSideEffect_Death,Age30-39_SeriousSideEffectCase_Major,Age40-49_VaccinationPopulation,Age40-49_SideEffectCase,Age40-49_GeneralSideEffect,Age40-49_SeriousSideEffect_Sum,Age40-49_SeriousSideEffect_Death,Age40-49_SeriousSideEffectCase_Major,Age50-59_VaccinationPopulation,Age50-59_SideEffectCase,Age50-59_GeneralSideEffect,Age50-59_SeriousSideEffect_Sum,Age50-59_SeriousSideEffect_Death,Age50-59_SeriousSideEffectCase_Major,Age60-69_VaccinationPopulation,Age60-69_SideEffectCase,Age60-69_GeneralSideEffect,Age60-69_SeriousSideEffect_Sum,Age60-69_SeriousSideEffect_Death,Age60-69_SeriousSideEffectCase_Major,Age70-79_VaccinationPopulation,Age70-79_SideEffectCase,Age70-79_GeneralSideEffect,Age70-79_SeriousSideEffect_Sum,Age70-79_SeriousSideEffect_Death,Age70-79_SeriousSideEffectCase_Major,Age80-89_VaccinationPopulation,Age80-89_SideEffectCase,Age80-89_GeneralSideEffect,Age80-89_SeriousSideEffect_Sum,Age80-89_SeriousSideEffect_Death,Age80-89_SeriousSideEffectCase_Major,AZ_VaccinationPopulation,AZ_SideEffectCase,AZ_GeneralSideEffect,AZ_SeriousSideEffect_Sum,AZ_SeriousSideEffect_Death,AZ_SeriousSideEffectCase_Major,PF_VaccinationPopulation,PF_SideEffectCase,PF_GeneralSideEffect,PF_SeriousSideEffect_Sum,PF_SeriousSideEffect_Death,PF_SeriousSideEffectCase_Major,M_VaccinationPopulation,M_SideEffectCase,M_GeneralSideEffect,M_SeriousSideEffect_Sum,M_SeriousSideEffect_Death,M_SeriousSideEffectCase_Major,J_VaccinationPopulation,J_SideEffectCase,J_GeneralSideEffect,J_SeriousSideEffect_Sum,J_SeriousSideEffect_Death,J_SeriousSideEffectCase_Major,NV_VaccinationPopulation,NV_SideEffectCase,NV_GeneralSideEffect,NV_SeriousSideEffect_Sum,NV_SeriousSideEffect_Death,NV_SeriousSideEffectCase_Major,SC_VaccinationPopulation,SC_SideEffectCase,SC_GeneralSideEffect,SC_SeriousSideEffect_Sum,SC_SeriousSideEffect_Death,SC_SeriousSideEffectCase_Major,M_BA_1_VaccinationPopulation,M_BA_1_SideEffectCase,M_BA_1_GeneralSideEffect,M_BA_1_SeriousSideEffect_Sum,M_BA_1_SeriousSideEffect_Death,M_BA_1_SeriousSideEffectCase_Major,PF_BA_1_VaccinationPopulation,PF_BA_1_SideEffectCase,PF_BA_1_GeneralSideEffect,PF_BA_1_SeriousSideEffect_Sum,PF_BA_1_SeriousSideEffect_Death,PF_BA_1_SeriousSideEffectCase_Major,PF_BA_4mod5_VaccinationPopulation,PF_BA_4mod5_SideEffectCase,PF_BA_4mod5_GeneralSideEffect,PF_BA_4mod5_SeriousSideEffect_Sum,PF_BA_4mod5_SeriousSideEffect_Death,PF_BA_4mod5_SeriousSideEffectCase_Major,1_VaccinationPopulation,1_SideEffectCase,1_GeneralSideEffect,1_SeriousSideEffect_Sum,1_SeriousSideEffect_Death,1_SeriousSideEffectCase_Major,2_VaccinationPopulation,2_SideEffectCase,2_GeneralSideEffect,2_SeriousSideEffect_Sum,2_SeriousSideEffect_Death,2_SeriousSideEffectCase_Major,3_VaccinationPopulation,3_SideEffectCase,3_GeneralSideEffect,3_SeriousSideEffect_Sum,3_SeriousSideEffect_Death,3_SeriousSideEffectCase_Major,4_VaccinationPopulation,4_SideEffectCase,4_GeneralSideEffect,4_SeriousSideEffect_Sum,4_SeriousSideEffect_Death,4_SeriousSideEffectCase_Major,Winter_VaccinationPopulation,Winter_SideEffectCase,Winter_GeneralSideEffect,Winter_SeriousSideEffect_Sum,Winter_SeriousSideEffect_Death,Winter_SeriousSideEffectCase_Major
2022-11-10,130155525,479712,460432,19280,18967,17384,64502865,172656,163670,8986,12117,7775,65652660,307056,296762,10294,6857,9609,8062203,26577,25805,772,127,760,17022437,81436,79459,1977,437,1934,15923268,78472,76198,2274,887,2186,20953059,80828,78212,2616,1497,2467,25338311,83570,80468,3102,2747,2828,22972215,80220,76000,4220,4377,3783,13086582,35583,32877,2706,4177,2289,6797450,13026,11413,1613,4767,1137,20348862,110320,104540,5780,4777,5303,81083512,245876,235568,10308,1107,9201,25143952,113038,110347,2691,279,2412,1509960,8883,8476,4077,15,392,874900,1195,1125,70,16,54,2987,1,1,0,0,0,1191349,399,375,247,2,22,3,0,0,0,0,0,44866935,241036,230653,10383,6277,9756,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,479712,479712,460432,19280,18967,17384
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-24,131102873,480239,460920,19319,1903,17416,64980614,172879,163873,9006,1214,7792,66122259,307360,297047,10313,689,9624,8069202,26595,25822,773,12,761,17051744,81458,79480,1978,43,1935,15959612,78505,76228,2277,88,2189,21015949,80886,78264,2622,150,2472,25440861,83644,80536,3108,275,2833,23260805,80372,76145,4227,436,3791,13346360,35707,32990,2717,420,2297,6958340,13072,11455,1617,479,1138,20348866,110345,104561,5784,478,5306,81119441,246031,235706,10325,1111,9214,25150343,113079,110382,2697,279,2418,1510023,8883,8476,407,15,392,892024,1207,1137,70,16,54,3665,2,2,0,0,0,1489160,573,540,33,4,29,272061,66,64,2,0,2,44869674,241078,230690,10388,628,9760,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,480239,108583,216691,71213,71401,12351
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-08,132373424,480897,461538,19359,1914,17445,65619874,173174,164142,9032,1223,7809,66753550,307723,297396,10327,691,9636,8080120,26620,25845,775,12,763,17108762,81500,79522,1978,43,1935,16012415,78555,76278,2277,88,2189,21103749,80964,78341,2623,150,2473,25619103,83751,80637,3114,276,2838,23642634,80542,76301,4241,439,3802,13656877,35845,33117,2728,424,2304,7149764,13120,11497,1623,482,1141,20348869,110361,104575,5786,480,5306,81147169,246159,235828,10331,1113,9218,25155027,113113,110415,2698,279,2419,1510086,8884,8477,407,15,392,908103,1215,1144,71,16,55,4177,2,2,0,0,0,1703155,721,671,50,8,42,504111,128,125,3,1,2,1092727,314,301,13,2,11,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3329873,1171,1104,67,12,55
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-22,133499686,481420,462034,19386,1923,17463,66178387,173416,164374,9042,1227,7815,67321299,308004,297660,10344,696,9648,8096843,26648,25873,775,12,763,17205244,81561,79583,1978,43,1935,16067939,78589,76311,2278,88,2190,21186153,81024,78396,2628,152,2476,25785277,83826,80710,3116,276,2840,23944276,80671,76419,4252,444,3808,13905478,35939,33207,2732,425,2307,7308476,13162,11535,1627,483,1144,20348873,110375,104590,5785,479,5306,81159495,246267,235927,10340,1117,9223,25156397,113130,110429,2701,282,2419,1510168,8884,8477,407,15,392,920378,1226,1154,72,16,56,4602,2,2,0,0,0,1848379,791,738,53,8,45,688209,192,186,6,3,3,1863185,553,531,22,3,19,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4434249,1545,1463,82,15,67
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
