tDate,1_TDInoc,1_TDRecord,1_Rate,2_TDInoc,2_TDRecord,2_Rate,3_TDInoc,3_TDRecord,3_Rate,4_TDInoc,4_TDRecord,4_Rate,Winter_TDInoc,Winter_TDRecord,Winter_Rate
2022-11-24,45128031,265,87.9,44698493,246,87.1,33700823,1654,65.7,7586265,1514,14.8,2414291,102022,4.7
2022-11-25,,,,,,,,,,,,,,,
2022-11-26,,,,,,,,,,,,,,,
2022-11-27,,,,,,,,,,,,,,,
2022-11-28,,,,,,,,,,,,,,,
2022-11-29,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,
2022-12-01,45130732,311,87.9,,,222,,33712803,1437,,7594170,833,,3048244,91728
2022-12-02,,,,,,,,,,,,,,,
2022-12-03,,,,,,,,,,,,,,,
2022-12-04,,,,,,,,,,,,,,,
2022-12-05,,,,,,,,,,,,,,,
2022-12-06,,,,,,,,,,,,,,,
2022-12-07,,,,,,,,,,,,,,,
2022-12-08,,,,,,,,,,,,,,,
2022-12-09,45133461,207,87.9,44703801,234,87.1,33723142,1019,65.7,7598067,443,14.8,3743404,94169,7.3
2022-12-10,,,,,,,,,,,,,,,
2022-12-11,,,,,,,,,,,,,,,
2022-12-12,,,,,,,,,,,,,,,
2022-12-13,,,,,,,,,,,,,,,
2022-12-14,,,,,,,,,,,,,,,
2022-12-15,,,,,,,,,,,,,,,
2022-12-16,45135918,187,90,44706374,263,89.1,,,,,,,4290895,83901,9.1
2022-12-17,,,,,,,,,,,,,,,
2022-12-18,,,,,,,,,,,,,,,
2022-12-19,,,,,,,,,,,,,,,
2022-12-20,,,,,,,,,,,,,,,
2022-12-21,,,,,,,,,,,,,,,
2022-12-22,,,,,,,,,,,,,,,
2022-12-23,,,,,,,,,,,,,,,
2022-12-24,,,,,,,,,,,,,,,
2022-12-25,,,,,,,,,,,,,,,
2022-12-26,,,,,,,,,,,,,,,
2022-12-27,,,,,,,,,,,,,,,
2022-12-28,,,,,,,,,,,,,,,
2022-12-29,45140606,250,90,45140606,286,89.2,,,,,,,5095134,67367,10.8
2022-12-30,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,
2023-01-07,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,
2023-01-11,44866943,263,89.5,44447710,244,88.7,,,,,,,5681705,45990,12
2023-01-12,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,,,,,,
2023-01-14,,,,,,,,,,,,,,,
2023-01-15,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,,,,,,
2023-01-18,44866837,190,89.5,44447828,265,88.7,,,,,,,5906884,34734,12.5
2023-01-19,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-21,,,,,,,,,,,,,,,
2023-01-22,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,,,
2023-01-24,44867046,12,89.5,44448216,20,88.7,,,,,,,6008877,1495,12.7
2023-01-25,,,,,,,,,,,,,,,
2023-01-26,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-01-28,,,,,,,,,,,,,,,
2023-01-29,,,,,,,,,,,,,,,
2023-01-30,,,,,,,,,,,,,,,
2023-01-31,44867702,199,89.5,44449556,292,88.7,,,,,,,6123799,23156,13
2023-02-01,,,,,,,,,,,,,,,
2023-02-02,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-04,,,,,,,,,,,,,,,
2023-02-05,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,
2023-02-07,44850203,145,89.5,44432944,221,88.7,,,,,,,6226149,16596,13.5
2023-02-08,,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-02-11,,,,,,,,,,,,,,,
2023-02-12,,,,,,,,,,,,,,,
2023-02-13,44847500,145,87.6,77730611,113,86.8,,,,,,,6310629,12704,13.4
2023-02-14,,,,,,,,,,,,,,,
2023-02-15,,,,,,,,,,,,,,,
2023-02-16,,,,,,,,,,,,,,,
2023-02-17,,,,,,,,,,,,,,,
2023-02-18,,,,,,,,,,,,,,,
2023-02-19,,,,,,,,,,,,,,,
2023-02-20,44846469,116,87.6,44429879,144,86.8,,,,,,,6384732,10547,13.5
2023-02-21,,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,,,,,
2023-02-24,,,,,,,,,,,,,,,
2023-02-25,,,,,,,,,,,,,,,
2023-02-26,,,,,,,,,,,,,,,
2023-02-27,44847062,164,87.6,44430479,193,86.8,,,,,,,6449598,9840,13.7
2023-02-28,,,,,,,,,,,,,,,
2023-03-01,,,,,,,,,,,,,,,
2023-03-02,,,,,,,,,,,,,,,
2023-03-03,,,,,,,,,,,,,,,
2023-03-04,,,,,,,,,,,,,,,
2023-03-05,,,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,,,,
2023-03-07,44830892,87,87.6,44414842,131,86.8,,,,,,,6499869,6429,13.8
2023-03-08,,,,,,,,,,,,,,,
2023-03-09,,,,,,,,,,,,,,,
2023-03-10,,,,,,,,,,,,,,,
2023-03-11,,,,,,,,,,,,,,,
2023-03-12,,,,,,,,,,,,,,,
2023-03-13,44829217,71,87.6,44413382,83,86.8,,,,,,,6534230,5789,13.9
2023-03-14,,,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,,,,
2023-03-16,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-18,,,,,,,,,,,,,,,
2023-03-19,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,,,,
2023-03-23,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-25,,,,,,,,,,,,,,,
2023-03-26,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,,,,
2023-03-30,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-01,,,,,,,,,,,,,,,
2023-04-02,,,,,,,,,,,,,,,
2023-04-03,44813067,44,87.6,44398276,79,86.8,,,,,,,6633363,4264,14.1
